run	failed_results	classification	detail
runs/correction2-runtime-restored-final/post-seal-correction2-runtime-restored-final.trx	1	SUPERSEDED_TEST_TIMING	The first deterministic C116 proof depended on an uncontrolled winner/loser start race and timed out before the loser reached provider reuse; the successor controls both sides of the exact race.
runs/correction2-runtime-restored-final-v2/post-seal-correction2-runtime-restored-final-v2.trx	1	SUPERSEDED_ASSERTION_DRIFT	The durable exact-reuse path correctly used Inspect:Prepared while the old assertion accepted only the equivalent Prepare:ExistingMatch path; the successor asserts either exact provider-reuse route while retaining the durable residue checks.
runs/correction2-runtime-restored-final-v3/post-seal-correction2-runtime-restored-final-v3.trx	1	SUPERSEDED_TEST_INTERFERENCE	The stale acquire contender was allowed to repoll and claim the winner's newly sealed recovery before the winner completed; the successor test harness parks only that losing contender and leaves production scheduling unchanged.
runs/correction3-mutant-race/post-seal-correction3-mutant-race.trx	2	EVIDENCE_RED	Disabling the post-lock claim eligibility recheck makes the contender overwrite both a newly acquired lease and a newly installed retry backoff.
runs/correction3-mutant-null/post-seal-correction3-mutant-null.trx	1	EVIDENCE_RED	Removing explicit NULL rejection from lease and retry durations lets a mandatory NULL reach the recovery capability without the required exception.
runs/correction3-smoke-initial/post-seal-correction3-smoke.trx	2	SUPERSEDED_TEST_HARNESS	The first controlled-race helper combined set_config and row-lock SELECT in one ExecuteScalar call, so it observed the GUC text instead of the lock sentinel; the separated-command successor passes.
runs/correction3-experimental-preparation-lock-environment/post-seal-correction3-experimental-preparation-lock-environment.trx	2	TRANSIENT_FIXTURE_FAILURE	The disposable PostgreSQL fixture ended both streams during cluster prerequisite initialization before either experimental case reached its assertion; the subsequent fixture initialized normally.
runs/correction3-experimental-preparation-lock/post-seal-correction3-experimental-preparation-lock.trx	2	SUPERSEDED_TEST_HARNESS	An attempted stronger barrier locked the preparation row itself; SKIP LOCKED correctly skipped that row, so the contender could not reach the intended claim wait. The experiment was rejected and the controlled claim-row barrier retained.
output/review/RAW_EXPORT_POST_SEAL_RECOVERY_INVESTIGATION_V0_1/existing-c116-rerun.trx	1	EVIDENCE_RED	Independent pre-correction investigation reproduced the C116 Sealed plus PreparationConflict defect.
output/review/RAW_EXPORT_POST_SEAL_RECOVERY_INVESTIGATION_V0_1/existing-c1-full.trx	4	SUPERSEDED_RED	Independent pre-correction C1 sweep retained the known C105/C116/C125/C126 failures; successor focused proofs supersede them.
output/review/RAW_EXPORT_POST_SEAL_RECOVERY_INVESTIGATION_V0_1/pg-probe-full.trx	4	SUPERSEDED_ENVIRONMENT	Auxiliary PostgreSQL probe ran before the isolated database reached the effective latest migration and is retained but not credited as current-state evidence.
runs/correction4-smoke-sql-fixed/post-seal-legacy-finalize-restored.trx	1	SUPERSEDED_TEST_DEFECT	The first migration proof used a malformed CTE while the direct legacy-capability proof passed; the corrected migration proof is included in the six-test restored sentinel gate.
runs/correction4-mutant-legacy-finalize/post-seal-legacy-finalize-capability-mutant.trx	1	EVIDENCE_RED	Re-granting the legacy unfenced finalize capability lets the Sealer call succeed, so the required insufficient-privilege assertion fails at the named bypass boundary.
runs/correction4-restored-final/post-seal-correction4-restored-final.trx	3	SUPERSEDED_ASSERTION_DRIFT	C124/C126 still expected the predecessor capability surface; C116 produced a valid ExistingMatch plus LeaseLost claim handoff that the caller-label assertion rejected. The controlled handoff proof and durable-residue contract supersede all three.
runs/correction4-adjacent-e2e-restored-final/post-seal-correction4-adjacent-e2e-restored-final.trx	1	TEST_FIXTURE_DEFECT	The first current-byte same-Job adjacent run disposed the TestServer-owned unpooled Npgsql data source between its two cases; no product assertion was reached for the failed case.
runs/correction4-adjacent-e2e-lifetime-restored/post-seal-correction4-adjacent-e2e-lifetime-restored.trx	1	SUPERSEDED_TEST_FIX_ATTEMPT	Assigning a unique connection-pool identity alone did not repair the TestServer-owned DbContext lifetime; the explicit test-owned DbContext successor passes both cases twice.
runs/correction5-c116-contract/post-seal-correction5-c116-contract.trx	1	CONTRACT_CHARACTERIZATION_RED	The first explicit handoff proof passed, while C116 produced the also-valid Sealed plus LeaseLost branch and disproved an intermediate assertion that still required ExistingMatch specifically.
runs/correction5-c116-contract-restored/post-seal-correction5-c116-contract-restored.trx	1	SUPERSEDED_TEST_EXECUTION	The command used --no-build immediately after the assertion edit, so it executed the predecessor test binary; the rebuilt final and repeat gates pass on current bytes.
TOTAL	101	CLASSIFIED	101/101 failed test results classified across forty-six retained failed runs; repeated characterization, fixture failures and rejected harness experiments are not distinct product defects.
