sha256	source_document	line
E96F5148F0841B4DEFEE617F783B3BF87916FC36CDBA33E41D3DA757F6E51C41	broker_claim_cluster	BC-G7-P15
A40F4C332C7D1343C3A348B3F54B47CCB4E23A6DE326F0031B70A259EDFCA2B0	broker_claim_cluster	BC-G8-P16
123B48BF0AE09721C7D744B8AA719A754D898037D4532F93C3B9E2BB19A8D0A5	assembly_cluster	AS-G1-P29
149A9B3F6C40BFA692BDD9D0873816FAD7A2318705123CB5F4E8496879742EB1	assembly_cluster	AS-G2-P30-P33
E316FA55AFDD31EE2C4D7803627BC200ED059B30D53722CD2E4515CCF03DDF42	assembly_cluster	AS-G3-superseded
A55F2DD3A5A0C0BE100A9005F6C8C846E78A6F06D73E10BC3021A505B990F11C	assembly_cluster	AS-G3-P32-replay
B51215EFB3790F4B0463556A007F934C9238536B0FA2D42FB3017D54142C318F	broker_admission_cluster	BA-G1-P02-binding
5E051208C93475C6A9D49CA9CDED9E59F6626798D993CD0BE3F61CA119F5A191	broker_admission_cluster	BA-G2-P07-retention
EC50A2EBBAD831975E566573A0435B339183D12445ED2F0CE5BFB39C455A2D56	broker_admission_cluster	BA-G3-Agent-terminal-retire
5E334B42F31038E6918FD8B7A7A22B6347A62DC1EAE228F2AB5F35D928F4C9C2	broker_admission_cluster	BA-G4-P02-foreign-artifact
4FE0E4C7FECCE210C8DD34BA9066E97BF776F69FA3E752B529F779E2550EA7E4	broker_admission_p07_successor	BA-G5-P07-strict-expiry-comparator
E5B07ADE29F6A213654824429FBAB0BFFFA19A445CD036E119465CC8F3DD8253	r2r6_remaining_cluster	G-U-encryption-failure-projection
5BA4353535D8C36ACC6982C5BB1A35D10B2721F0948FF84A16D77A43F2D636D2	r2r6_remaining_cluster	G-T-O19-exact-cause
AD46FAE7684976A42D74F6E8F69ABA53B1F48CD8BD0890F8F724DB114D1EA749	r2r6_remaining_cluster	G-H-Agent-expired-lease-no-call
AABD39059C1DF8F3F58570E0DCFDD72DA872641FFF0A8ADD791C8E89FEF9FF99	r2r6_remaining_cluster	G-L-skip-pending-cleanup-current
F42D5BEF88129C92BC56B928A7181FFE17162FFDEE5EBAE869EA445700D5C597	r2r6_remaining_cluster	G-H-sync-read-superseded
1F53717D475D03906466B855B616B42E0BA04884CCFCD45134223859E867F600	r2r6_remaining_cluster	G-H-async-read-current
4B98AEC57EDFC41AF61FA871258527FAE9AC3F6311CD6EBAF6938EB34919FE1D	r2r6_review_correction	G-O19-first-public-projection
641FB57F91CC9858E3785B4FB1BA45D4E6BA46FC9E90DEEF058BBD49487B8833	r2r6_review_correction	G-O20-durable-ciphertext-cause
54784F8CFA49806AECBA95BD322037ECC740741223160CAD335C240C78E5059B	macro_wave_w1	G-O21-P21-preserved-ciphertext-projection
B480238723650EDED465ECA04ED0C6D736EE76A2E1009B7084019BC1F0350D0A	macro_wave_w1	G-O21-adjacent-pipeline-diagnostic
2D1913ADC1FDE73BD44B07579344D893638E12D06CD58F91A3D9A97E5802DE88	macro_wave_w2	W2-G-O03-O13-facade-shared-build
625E91B65B02C95FF28B6052E9959C4AEA30D6AB17F67457BD11AD2D869277CC	macro_wave_w2	W2-G-O04-endpoint
2F93F7129C3F0AC269537E09F88FC612B71DEBE30C100633BA19032AFC9A3C28	macro_wave_w2	W2-G-O05-admission
9F1939616A4943E307B3724BAC5F25E06B1D8821A858AEB33BD3FC851A94B352	macro_wave_w2	W2-G-O12-claim-state
F36D4D6D53866326CBF9417365043CF0A253494B00ACFC0A7E528F0D551E6EA8	macro_wave_w2	W2-G-O30-O31-assembly-sql
EF6A1A07A0AD7713671899713B4AC24357E1F2BBB23AD827F0E7FF887CDE6F60	macro_wave_w2	W2-G-O29-O32-O33-O35-O36-orchestrator
E57988151B7CC888DD4270F608A8ED12530FCBD7996FAF8A365854F1FE11F5E2	macro_wave_w2	W2-G-O34-integrity-evidence
EF3428B045F479CC672B0027D78703D489A74C2C6BD137069DDE09BC30FE933C	macro_wave_w2	W2-G-ASSEMBLY-CALLER
CC788652597A73F4B159A80528A7BE13BA99B2FFB437F7058E35BAE773960A91	macro_wave_w3	W3-G-CAPACITY-P08
A20A5D7A8CE5990912E4A1EC958F7CA3E0D5BDE1AB8035E5EED592A375F2227D	macro_wave_w3	W3-G-O14-LOCKED-HISTORIC-SELECTOR
44A4A6A0AA0175F7130E24300DE5B060AC2F589F254FF2C7CE74E29FE161BBCB	activation_evidence_gate	AE-G-ZERO-AUTHORITY-OPEN
F28D66B9AE6FFA5921B3E467375DFBD6C180B07DF5271836A624DA3295E9324D	macro_wave_w4	W4-G-CAP-AGENT-PORTRAIT
EE8D4DBE3EA4838D685C0F9E315519870DA0BCAEBF2B8599BD158FC20340E0C6	macro_wave_w5	W5-G-LATEST-REFERENCE-HEAD
08C9DFBD9047CCD830343DADD753A2BC0B83D8D91DBA628EF56FAF48733D042B	macro_wave_w5	W5-G-C3-SNAPSHOT-INNER-DIAGNOSTIC
926C72905F8309CBEFE9761AAF63FDAE941F97278FBC05DA0F4C76D07CD71D0F	macro_wave_w5	W5-G-C3-BEGIN-AUTHORITY
B72625009C3BD5B6351F493EDBBCA8CE7EFB015668BEE08DA7657B7ECF7F8002	activation_scope_topology	A3-SCOPE-TOPOLOGY
44D994F7D3DCDE5C522B582D0202109413E88EC94421A529E310D65F8CE13098	site_transport_probe	A3-SITE-PROBE-STARTUP-LIVENESS
