id	path	sha256	total	passed	failed	skipped	failing_tests	first_assertion_or_exception	classification	guard_or_row	successor_trx	exclusion_reason	locator
FR011	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp21-four-evidence-red.trx	F568A3A384ED36753A8630808C29684CFE0B26540D6E611667D64BA6C1E784A6	4	1	3	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "active-key"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "provider-unknown"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "preparation")	Npgsql.PostgresException : P0001: RAW_EXPORT_SOURCE_CORE_APPEND_ONLY	SUPERSEDED_RED		a3-r2r6-bp21-four-evidence-final-source-red.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR011;matrix#failed-run-audit/FR011;ledger#failed-run-audit/FR011
FR012	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-gh-agent-replay-read-red.trx	9B50285D203843F317B70CA48ADAA039030E56541E54C837D790CC027389D9C2	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: False, dropResponse: False, withObsolete: False, encryptionFailure: False, cancelAtCommitted: False, tamperCiphertext: False, reenterAfterLoss: False, agentFirstAtR5: True)	Assert.Equal() Failure: Values differ Expected: 2 Actual: 3	EVIDENCE_RED	G-H replay body-read / P17 O17		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR012;matrix#failed-run-audit/FR012;ledger#failed-run-audit/FR012
FR013	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-gp-agent-committed-red-v2.trx	379638B98B5BED58B6588A11FEC0A8604D39772136EB5064D0F8923DE929F0FA	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: False, dropResponse: False, withObsolete: False, encryptionFailure: False, cancelAtCommitted: False, tamperCiphertext: False, reenterAfterLoss: False, agentFirstAtR5: True)	Assert.True() Failure Expected: True Actual: False	EVIDENCE_RED	G-P paired publication/custody state / BP11		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR013;matrix#failed-run-audit/FR013;ledger#failed-run-audit/FR013
FR014	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-nps-evidence-baseline.trx	36DCA0C3CD77B9DAA816FA86B24AF67DF09BEBA91F2DB4B947DCA1FD3960338E	4	1	3	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "object-custody"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "provider-unknown"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "active-key")	System.ArgumentException : Disposable database purpose is invalid. (Parameter 'purpose')	EXCLUDED_DIAGNOSTIC			Disposable database purpose string violated fixture naming rule before business assertion.	packet#failed-run-audit/FR014;matrix#failed-run-audit/FR014;ledger#failed-run-audit/FR014
FR015	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-nps-evidence-disjunction-red.trx	2B1B2F0FA0437020AC8FE6CED26DAFE817664261E0437DDDD046C2044E83F81F	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "preparation")	Npgsql.PostgresException : P0001: RAW_EXPORT_SOURCE_CORE_APPEND_ONLY	SUPERSEDED_RED		a3-r2r6-bp21-four-evidence-final-source-red.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR015;matrix#failed-run-audit/FR015;ledger#failed-run-audit/FR015
FR016	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-diagnostic.trx	6647063E8EF135E4FE583AF1C17871EDC2CCAC261AE4CBA4C5EDA1EF599BE41C	2	1	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: True)	O19 not finalized: actual=RAW_EXPORT_SOURCE_TEMPORARILY_UNAVAILABLE; durable={"key": "Active", "intent": "CONTENT_COMMITMENT_MISMATCH", "object": "PutOutcomeUnknown", "outcome": null, "termination": null}	EXCLUDED_DIAGNOSTIC			Pre-correction terminal continuation returned O18 with PutOutcomeUnknown; diagnostic exposed missing conditional positive-absence settlement, not an isolated mutant.	packet#failed-run-audit/FR016;matrix#failed-run-audit/FR016;ledger#failed-run-audit/FR016
FR017	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-negative-family-baseline-v2.trx	60F2349F0F77147D4F96B50C83E7F51BB8B36F5D52DF4AA509ECEFE63A911DAA	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.Ti02_O19PositiveAbsenceNegativeFamilyKeepsUnprovenAndMismatchedAttemptsPending	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "PutOutcomeUnknown" Actual: "OutcomeUnknown" ↑ (pos 0)	EXCLUDED_DIAGNOSTIC			Test expected PutOutcomeUnknown but durable enum value was OutcomeUnknown; setup assertion correction.	packet#failed-run-audit/FR017;matrix#failed-run-audit/FR017;ledger#failed-run-audit/FR017
FR018	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-negative-family-baseline.trx	B29276F41B5D815683B2A322C057CE582D6DCF99D4FE97C47CC807D2CBC18D56	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.Ti02_O19PositiveAbsenceNegativeFamilyKeepsUnprovenAndMismatchedAttemptsPending	Assert.Null() Failure: Value of type 'Nullable<DateTimeOffset>' has a value Expected: null Actual: 2026-09-18T12:43:45.6649260+00:00	EXCLUDED_DIAGNOSTIC			Test incorrectly expected null provider observation timestamp; setup assertion correction.	packet#failed-run-audit/FR018;matrix#failed-run-audit/FR018;ledger#failed-run-audit/FR018
FR019	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-notarmed-baseline.trx	0874C19781B2150F9DECCFD6FA5B3EB3F5D4C321F8ABD6F778BE26287F9100F2	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.Ti02_NotArmedObjectCannotUseO19PositiveAbsenceException	Assert.Null() Failure: Value of type 'Nullable<DateTimeOffset>' has a value Expected: null Actual: 2026-09-18T09:31:21.1361840+00:00	EXCLUDED_DIAGNOSTIC			Test incorrectly expected null observation timestamp in NotArmed negative setup.	packet#failed-run-audit/FR019;matrix#failed-run-audit/FR019;ledger#failed-run-audit/FR019
FR020	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-notarmed-guard-red.trx	A49881CEF1A3315F07613753317AD940E9226CF7064869D33B53A1D6B533D1E8	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.Ti02_NotArmedObjectCannotUseO19PositiveAbsenceException	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "StateConflict" Actual: "Terminated" ↑ (pos 0)	EVIDENCE_RED	G-T positive-absence NotArmed guard / P19 O19		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR020;matrix#failed-run-audit/FR020;ledger#failed-run-audit/FR020
FR021	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-wrong-cause-guard-red.trx	EC40D37DBD218ADB1DEDA46F8FD4137642C1E98EF2F767F0C0EACDFF7F5058A8	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.Ti02_PositiveObjectAbsenceCannotSettleDifferentTerminalCause	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "StateConflict" Actual: "Terminated" ↑ (pos 0)	EVIDENCE_RED	G-T terminal-cause agreement / P19 O19		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR021;matrix#failed-run-audit/FR021;ledger#failed-run-audit/FR021
FR022	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-agent-kestrel-diagnostic-v2.trx	684D66E2A94988F07E126E553D43C68D2ECB8FD71FBD826A2C80B5DAAD331E60	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	Assert.True() Failure Expected: True Actual: False	EXCLUDED_DIAGNOSTIC			Agent/Kestrel diagnostic failed committed-phase reachability assertion before target result; not a product mutation.	packet#failed-run-audit/FR022;matrix#failed-run-audit/FR022;ledger#failed-run-audit/FR022
FR023	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-agent-kestrel-diagnostic-v3.trx	F1722EAA062D47332438AFCC67D23E3DCA88804E9DCA8CA18C9D9F2C35DBD007	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	R5 did not reach Committed; HTTP completed=True; fault=System.AggregateException: One or more errors occurred. (The SSL connection could not be established, see inner exception.) ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception. ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream. at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken) at System.	EXCLUDED_DIAGNOSTIC			Shared TLS harness handshake failed with unexpected EOF before HTTP/R5 business assertion.	packet#failed-run-audit/FR023;matrix#failed-run-audit/FR023;ledger#failed-run-audit/FR023
FR024	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-agent-kestrel-diagnostic-v4.trx	5527A12332152DB3A7DB29014936BD53E7F70EFAAD9E41E0F0776ED114925BE4	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	R5 did not reach Committed; HTTP completed=True; fault=System.AggregateException: One or more errors occurred. (The SSL connection could not be established, see inner exception.) ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception. ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream. at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken) at System.	EXCLUDED_DIAGNOSTIC			Shared TLS harness handshake failed with unexpected EOF before HTTP/R5 business assertion.	packet#failed-run-audit/FR024;matrix#failed-run-audit/FR024;ledger#failed-run-audit/FR024
FR025	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-agent-kestrel-diagnostic-v5.trx	B2591ABE20BF1606E435264F28C9474A93A58B769FE3288C269ED2319B8B8F05	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	R5 did not reach Committed; HTTP completed=True; fault=System.AggregateException: One or more errors occurred. (The SSL connection could not be established, see inner exception.) ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception. ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream. at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken) at System.	EXCLUDED_DIAGNOSTIC			Shared TLS harness handshake failed with unexpected EOF before HTTP/R5 business assertion.	packet#failed-run-audit/FR025;matrix#failed-run-audit/FR025;ledger#failed-run-audit/FR025
FR026	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-agent-kestrel-diagnostic-v6.trx	9EC1D7946FE992A237E95C843928B89132AFA31DEFE23C2F5FEAC8BE57553076	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	R5 did not reach Committed; HTTP completed=True; fault=System.AggregateException: One or more errors occurred. (The SSL connection could not be established, see inner exception.) ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception. ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream. at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken) at System.	EXCLUDED_DIAGNOSTIC			Shared TLS harness handshake failed with unexpected EOF before HTTP/R5 business assertion.	packet#failed-run-audit/FR026;matrix#failed-run-audit/FR026;ledger#failed-run-audit/FR026
FR027	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-p17-kestrel-server-read-red.trx	1B4F7542DE5CD4FE7B70B234C1322550750D06EE6A80BA4B22F6C20FEA115A39	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	Assert.Equal() Failure: Values differ Expected: 0 Actual: 1	SUPERSEDED_RED		a3-r2r6-gh-agent-replay-read-red.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR027;matrix#failed-run-audit/FR027;ledger#failed-run-audit/FR027
FR028	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-phase-c-positive-v2.trx	6BB13E847861F924002DC6A4377934C2A6283B74787C10450063EA4950259C5D	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: True)	Assert.NotEqual() Failure: Values are equal Expected: Not None Actual: None	EXCLUDED_DIAGNOSTIC			Pre-correction O19 positive control found no expected terminal step; diagnostic before accepted settlement proof.	packet#failed-run-audit/FR028;matrix#failed-run-audit/FR028;ledger#failed-run-audit/FR028
FR029	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-phase-c-positive.trx	726067569F394CDB57C993C0723B29D4582D3B473C92214395B90B0C5D745DB3	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: True)	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "CONTENT_COMMITMENT_MISMATCH" Actual: "RAW_EXPORT_SOURCE_TEMPORARILY_UNAVAILABLE" ↑ (pos 0)	EXCLUDED_DIAGNOSTIC			Pre-correction O19 positive control returned O18 instead of O19; diagnostic led to conditional positive-absence correction.	packet#failed-run-audit/FR029;matrix#failed-run-audit/FR029;ledger#failed-run-audit/FR029
FR030	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-positive-absence-correction-check.trx	DD9A632EFA2F1ECBCE26A5D8B332D275767EA4CFE41A23EA8D0FBE0A5C6F8598	3	2	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: True, dropResponse: False)	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "RAW_EXPORT_SOURCE_TEMPORARILY_UNAVAILABLE" Actual: "CONTENT_COMMITMENT_MISMATCH" ↑ (pos 0)	EXCLUDED_DIAGNOSTIC			Stale diagnostic expectation O18 after corrected path returned O19; not a product mutant.	packet#failed-run-audit/FR030;matrix#failed-run-audit/FR030;ledger#failed-run-audit/FR030
FR031	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-replay-body-read-final-source-red.trx	9DC6A612A2B8255930A1FFD07EF64F8CBC6B99158075871C36020BF925125FFA	2	0	2	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ActivatedHttpRoute_UsesBrokerAndBodyPipelineToPublishBothRawClasses(rawClass: "LiveSelfieImage"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ActivatedHttpRoute_UsesBrokerAndBodyPipelineToPublishBothRawClasses(rawClass: "ChipDg2Portrait")	Assert.Equal() Failure: Values differ Expected: 0 Actual: 2	EVIDENCE_RED	G-H final broker-result body-read / P17 O17		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR031;matrix#failed-run-audit/FR031;ledger#failed-run-audit/FR031
FR032	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-replay-body-read-red.trx	6AA65D2787B2C6580065CCD42590558AF53DDE79996B714B050977C721E0A32E	2	0	2	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ActivatedHttpRoute_UsesBrokerAndBodyPipelineToPublishBothRawClasses(rawClass: "LiveSelfieImage"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ActivatedHttpRoute_UsesBrokerAndBodyPipelineToPublishBothRawClasses(rawClass: "ChipDg2Portrait")	Assert.Equal() Failure: Values differ Expected: 0 Actual: 2	SUPERSEDED_RED		a3-r2r6-replay-body-read-final-source-red.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR032;matrix#failed-run-audit/FR032;ledger#failed-run-audit/FR032
FR033	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-shared-tls-diagnostic-v2.trx	6D225B82A00B5813F7E81FCCC6A1F95B85C7C97B8A077FBB36FB3ACCBB68F551	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6TransportHarnessTests.SharedLoopbackHttpsHarnessCompletesRealTlsHandshake	System.Net.Http.HttpRequestException : The SSL connection could not be established, see inner exception. ---- System.IO.IOException : Received an unexpected EOF or 0 bytes from the transport stream.	EXCLUDED_DIAGNOSTIC			Minimal shared TLS health control failed handshake with unexpected EOF before route.	packet#failed-run-audit/FR033;matrix#failed-run-audit/FR033;ledger#failed-run-audit/FR033
FR034	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-shared-tls-positive-control.trx	59E8C37A5966754F4F220FA5B1C7BF3B04BECEFAED0BB8160FB8AA751997ECBA	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6TransportHarnessTests.SharedLoopbackHttpsHarnessCompletesRealTlsHandshake	System.Net.Http.HttpRequestException : The SSL connection could not be established, see inner exception. ---- System.IO.IOException : Received an unexpected EOF or 0 bytes from the transport stream.	EXCLUDED_DIAGNOSTIC			Initial ephemeral-certificate shared TLS health control failed handshake with unexpected EOF before route.	packet#failed-run-audit/FR034;matrix#failed-run-audit/FR034;ledger#failed-run-audit/FR034
FR035	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-terminal-unknown-object-correction-check.trx	71CC15FEAB0F8926C7EF8A8787D5A95E1CFFEFA486AC31D0E63D012B4C96FE2D	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: True)	Assert.Equal() Failure: Strings differ Expected: "CONTENT_COMMITMENT_MISMATCH" Actual: null	EXCLUDED_DIAGNOSTIC			Post-correction diagnostic found terminal outcome still null; no isolated guard mutation.	packet#failed-run-audit/FR035;matrix#failed-run-audit/FR035;ledger#failed-run-audit/FR035
FR036	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-terminal-unknown-object-diagnostic-v2.trx	33292656E359529017FDDEDC79FB62242731E0478808144360C79F356CB13EA8	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: True)	Terminal continuation unresolved after 32 steps: step=FinalizeIntent; object=NoObjectEstablished; intent=CONTENT_COMMITMENT_MISMATCH; key=Revoked	EXCLUDED_DIAGNOSTIC			Pre-correction continuation stalled at FinalizeIntent with NoObjectEstablished; semantic/product diagnostic, not mutation RED.	packet#failed-run-audit/FR036;matrix#failed-run-audit/FR036;ledger#failed-run-audit/FR036
FR037	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-th3-cancel-at-committed-phase-a.trx	A36088D24FB43E1F60C601B6227079934F6BAFCB0047C3D88AE89A9D1FF23ABE	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.R2R6HttpsPublicationReplayAndMismatchScenarios(contentMismatch: False, dropResponse: False, withObsolete: False, encryptionFailure: False, cancelAtCommitted: True)	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_ALREADY_AVAILABLE" Actual: "RAW_EXPORT_SOURCE_CLAIM_EVALUATION_IN_PRO"··· ↑ (pos 18)	EXCLUDED_DIAGNOSTIC			Test expected O17 before typed O02 RetryNotBeforeUtc elapsed; O21/worker controls preceded the bad timing assertion.	packet#failed-run-audit/FR037;matrix#failed-run-audit/FR037;ledger#failed-run-audit/FR037
