RunId	MacroWave	ScenarioFamily	GuardId	CommandScope	TrxPath	TrxSha256	SourcePath	SourceSha256	Result	Classification	RestoreStatus	Notes
W4-005	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	RESTORED-JOINED-AGENT	All Tip75WpfCaptureAppTests including new A3 P25 local capacity test on restored corrected bytes	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-w4/a3-w4-agent-config-restored-joined.trx	07CC57D216B104D50BD88DA30A006E877E33BE22637AFD5748FD1C95DCD74757	agent/src/TagEkyc.CaptureAgent.Core/CaptureAgentProductionConfigGate.cs	051750515D4C6BC2B6E8F38E83886643576236637EF7658D42FFE0FADD5856CE	41/41 PASS	RESTORED_GREEN	RESTORED_BYTE_EXACT	Focused Agent configuration gate; not a W4 row-level closure or complete Server-Agent joined gate.
W4-006	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	JOINED-BUILD-COLLISION-DIAGNOSTIC	Server and Agent test-project builds launched concurrently and contended for shared Agent.Core obj DLL					BUILD FAILED BEFORE TEST EXECUTION	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	CS2012 file-in-use; no TRX created; sequential Agent successor W4-008 succeeds on the same source bytes.
W4-007	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	RESTORED-JOINED-SERVER	Three readiness controls plus all fourteen internal-code no-egress wire controls on current bytes	tests/TagEkyc.IntegrationTests/TestResults/a3-w4/a3-w4-server-final-joined.trx	86EC85232D27EE5EFC734ED02850CE785974686204C7DD818264645EA2F70DBC	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerPipelineTests.cs	AA35E1EADFB15AF6D5242E614BC5F514046B62E8E11C01237EAA4D2ECC5FD25F	17/17 PASS	RESTORED_GREEN	CURRENT_PRODUCT	Fourteen aggregate no-egress cases remain a wire-only ratified sentinel; three readiness cases are bounded components.
W4-008	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	RESTORED-JOINED-AGENT-V2	Sequential Agent configuration and retained ownership classes on corrected current bytes	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-w4/a3-w4-agent-final-joined-v2.trx	7BCD43C8F2A9B06C7743028D95B08B92F3393F5690866B38168C04AB08E97B2A	agent/src/TagEkyc.CaptureAgent.Core/CaptureAgentProductionConfigGate.cs	051750515D4C6BC2B6E8F38E83886643576236637EF7658D42FFE0FADD5856CE	94/94 PASS	RESTORED_GREEN	CURRENT_PRODUCT	Zero fail/skip; affected Agent configuration and retained-owner controls. Not a substitute for P25 Server-Agent joined row proof.
W1-001	W1_R2_R6_EXECUTION	CRASH_RECOVERY	BASELINE-P21	cancelAtCommitted current-source positive control	tests/TagEkyc.IntegrationTests/TestResults/a3-w1-p21-baseline-current.trx	07420ACCB7B6C2FA1508D32C060692D006E1A3BAF2CD439AB2F6FDCF4BADDA2E	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3R2R6ClusterHttpTests.cs	3506F74EFF64843426CD11BAF46348B99488C9F67E571D85447454168BA024C6	1/1 PASS	BASELINE_GREEN	NOT_APPLICABLE	Real Kestrel/TLS and production Agent cancellation after durable R4 Committed; retry is exact O21 before continuation and O17 after publication.
W1-002	W1_R2_R6_EXECUTION	CRASH_RECOVERY	G-O21-ADJACENT-DIAGNOSTIC	All nine HTTP scenarios under an adjacent pipeline-return mutation	tests/TagEkyc.IntegrationTests/TestResults/a3-w1-go21-adjacent-green-diagnostic.trx	CDC23F9A9A8C5E5CA1274DD63FA7A8C27F8E906BEFAD90FC4D1B822D3EE11A86	src/TagEkyc.Infrastructure/RawExport/CaptureRuntimeSourcePipeline.cs	B480238723650EDED465ECA04ED0C6D736EE76A2E1009B7084019BC1F0350D0A	9/9 PASS	EXCLUDED_DIAGNOSTIC	RESTORED_BYTE_EXACT	Mutation changed the new-body pipeline fallback, but the O21 retry is produced by the broker preserved-ciphertext projection; no mutation claim is made.
W1-003	W1_R2_R6_EXECUTION	CRASH_RECOVERY	G-O21	All nine HTTP scenarios under preserved-ciphertext broker projection mutation	tests/TagEkyc.IntegrationTests/TestResults/a3-w1-go21-broker-projection-red.trx	0DA23087C4BF7A5368AB48F29A193A2216AF2D47EB4509018808565F746726D9	src/TagEkyc.Infrastructure/RawExport/RawIngressBrokerTransactionFacade.cs	54784F8CFA49806AECBA95BD322037ECC740741223160CAD335C240C78E5059B	8 PASS / 1 FAIL	EVIDENCE_RED	RESTORED_BYTE_EXACT	Only cancelAtCommitted fails: production Agent receives NOT_READY instead of exact O21 after G-O21 maps the preserved-ciphertext result to O18; eight adjacent controls remain GREEN. Restored SHA 8ADCA9B698B0E738B641BE281686669C2E79F47CFC191EE3C30249AFE2CB5C09.
W1-004	W1_R2_R6_EXECUTION	CRASH_RECOVERY	RESTORED-JOINED	Current-source 27-case R2-R6 cluster gate after exact restore	tests/TagEkyc.IntegrationTests/TestResults/a3-w1-r2r6-restored-joined-final.trx	1523CCDB2F07F3A88343FF24D41CE34BBBCD68673D82293814E55602DF9F8351	src/TagEkyc.Infrastructure/RawExport/RawIngressBrokerTransactionFacade.cs	8ADCA9B698B0E738B641BE281686669C2E79F47CFC191EE3C30249AFE2CB5C09	27/27 PASS	RESTORED_GREEN	RESTORED_BYTE_EXACT	Zero fail/skip; includes nine Kestrel/Agent scenarios, shared process-kill matrix, RE01 family, BP16/BP17/BP18/BP21 sentinels, O19 negative family and stage catalogue.
W2-001	W2_AUTHORIZED_IMPLEMENTATION	NO_PRODUCTION_EMITTER	BASELINE-HORIZONTAL	Nineteen-case current-source horizontal baseline covering ingress, claim-state and assembly families	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-horizontal-current-baseline.trx	1DD276CA80EFEA1B16F7CA7C77832F10080D2E76D8DE420CDAB93D1C0E5BE27E	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerAdmissionClusterTests.cs	1AC95612309AAAA5C897D0A3C27A614437E4452293952B75BFEB435E8C0F5805	19/19 PASS	BASELINE_GREEN	NOT_APPLICABLE	One physical run covers all three executable W2 families; no per-row build or infrastructure restart.
W2-002	W2_AUTHORIZED_IMPLEMENTATION	NO_PRODUCTION_EMITTER	W2-G-HORIZONTAL	One shared mutant build with thirteen row guards across seven production files	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-horizontal-current-guards-red.trx	916D6B02FF9C5C5486019C8719F06042357BEB673F10B401656C5705403DF5F5	src/TagEkyc.Infrastructure/RawExport/RawIngressBrokerTransactionFacade.cs	2D1913ADC1FDE73BD44B07579344D893638E12D06CD58F91A3D9A97E5802DE88	9 PASS / 10 FAIL	EVIDENCE_RED	RESTORED_BYTE_EXACT	P03/P04/P05/O12/O13/P29/P30/P33 plus the aggregate P31/P32/P34/P35/P36 test fail; nine adjacent controls remain green.
W2-003	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-ASSEMBLY-PREDECESSOR	Earlier wrong-flag assembly-only mutation run before aggregate failure collection	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-horizontal-guard-matrix-red.trx	A8ED82B9104C329207EE06953AE9AF2CA2DD8BC0048EE36F6E7E7A7719A844BE	tests/TagEkyc.IntegrationTests/Tip88C1C1ResolverAssemblyTests.cs	087560B5B52EB5EC7AEB7DF1E32883BEBFD7EBFB23C731486811A56F0B8A3527	0 PASS / 5 FAIL	SUPERSEDED_RED	RESTORED_BYTE_EXACT	Superseded by W2-002 on current A3-enabled bytes; retained for provenance, not closure.
W2-004	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	BASELINE-WORKER	Production DurableWorker caller positive control	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-worker-current-baseline.trx	6CCE9C980F8263B71DC859D1F065DA04589B5D2A120BF11640CF80AB67E8381A	src/TagEkyc.Api/RawExportAssemblyHostedService.cs	EAEC409E6B20702F143EC0D0A45DDAB0432B2E5B9F0A23EE7D29A09431217CAA	1/1 PASS	BASELINE_GREEN	NOT_APPLICABLE	Cheap in-memory control proves explicit work source acquisition, production orchestrator call and result recording.
W2-005	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-ASSEMBLY-CALLER	Bypass production orchestrator call in DurableWorker	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-worker-caller-red.trx	DBBB3B934F691F9E7EAD8B3B0DF6603723E877D35C6B061FAB0F32E06FDC6C6D	src/TagEkyc.Api/RawExportAssemblyHostedService.cs	EF3428B045F479CC672B0027D78703D489A74C2C6BD137069DDE09BC30FE933C	0/1 FAIL	EVIDENCE_RED	RESTORED_BYTE_EXACT	Exact caller test fails at expected request versus null; no PostgreSQL, MinIO or Kestrel restart was needed.
W2-006	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	RESTORED-JOINED	Nineteen-case restored infrastructure matrix before caller guard was added	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-horizontal-restored-joined.trx	1BA09CB508E9D52D2BE45F3398BBC51EDCED5ED90E47DF72FFBD57BBFE5EC1E0	src/TagEkyc.Infrastructure/RawExport/RawExportAssemblyOrchestrator.cs	5EDC9B2A79EA7CB98567B779A7A454BC62C478AC927C734489AE966716C235A0	19/19 PASS	RESTORED_GREEN	RESTORED_BYTE_EXACT	Intermediate restored gate; superseded as final freeze by W2-007, which adds the production caller test.
W2-007	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	FINAL-RESTORED-JOINED	Final current-byte horizontal gate including production DurableWorker caller	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-horizontal-final-restored-joined.trx	877C94643D7442F8F26DE07EDE016F7E46CADE86F4A8E797EC30E4166E7B210B	src/TagEkyc.Api/RawExportAssemblyHostedService.cs	EAEC409E6B20702F143EC0D0A45DDAB0432B2E5B9F0A23EE7D29A09431217CAA	20/20 PASS	RESTORED_GREEN	RESTORED_BYTE_EXACT	Final W2 gate: one worker caller, six ingress, eight claim-state and five assembly methods; zero fail/skip.
W2-008	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	PREDECESSOR-MINIO-DIAGNOSTIC	Initial shared assembly fixture attempt	TestResults/a3-w2/a3-w2-assembly-shared-baseline.trx	052A84C45CAAD9748EA1434E49FF0F97681CA0ABC0A7707BE147045031971FA1	tests/TagEkyc.IntegrationTests/Tip88C1C1ResolverAssemblyTests.cs	087560B5B52EB5EC7AEB7DF1E32883BEBFD7EBFB23C731486811A56F0B8A3527	0/1 FAIL	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	MinIO Access Denied before target assertion; successor W2-009 is 1/1.
W2-009	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	PREDECESSOR-MINIO-RESTORED	Shared assembly fixture after environment recovery	TestResults/a3-w2/a3-w2-assembly-shared-restored.trx	7744EBA0F70AD6AC42982F3AA3AC94A8160E83C64C787BE98F7AC96FECB0E50F	tests/TagEkyc.IntegrationTests/Tip88C1C1ResolverAssemblyTests.cs	087560B5B52EB5EC7AEB7DF1E32883BEBFD7EBFB23C731486811A56F0B8A3527	1/1 PASS	RESTORED_GREEN	NOT_APPLICABLE	Environment successor only; component proof does not close the shipping work-source gap.
W2-010	W2_AUTHORIZED_IMPLEMENTATION	PHASE_REACHABILITY	PREDECESSOR-MIXED-BASELINE	Early 26-case horizontal baseline before W2 corrections	TestResults/a3-w2/a3-w2-horizontal-baseline.trx	4A6551B4AB61590332B06929257D97D3A99D655B0940A6CEE60723C71ED5171E	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	C9EDF018825002F8E3677D1A08A83850B922915F2802EB6A9CA633FFD46D82DE	22 PASS / 4 FAIL	SUPERSEDED_RED	NOT_APPLICABLE	P33 mapping, O12 prepared SQL, worker polling assertion and NPS evidence-count predecessor failures; superseded by current baseline and current-byte sentinel.
W2-011	W2_AUTHORIZED_IMPLEMENTATION	PHASE_REACHABILITY	PREDECESSOR-O12-RESIDUE	O12 retry after initial reachability correction	TestResults/a3-w2/a3-w2-horizontal-retry.trx	D49FBE25E6DBD2DBE64DEBB5150F1435642EEA5B48D4BD7B563AE5CAB6F73B7F	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	C9EDF018825002F8E3677D1A08A83850B922915F2802EB6A9CA633FFD46D82DE	3 PASS / 1 FAIL	SUPERSEDED_RED	NOT_APPLICABLE	O12 reached its typed outcome but the expected residue snapshot was stale; corrected successor is W2-012 and later shared gates.
W2-012	W2_AUTHORIZED_IMPLEMENTATION	PHASE_REACHABILITY	PREDECESSOR-O12-RESTORED	Focused O12 successor	TestResults/a3-w2/a3-w2-o12-restored.trx	F5F36CF54CFC61324164832C087C733415442F8EA8638B9F80CA026CE8928258	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	C9EDF018825002F8E3677D1A08A83850B922915F2802EB6A9CA633FFD46D82DE	1/1 PASS	RESTORED_GREEN	NOT_APPLICABLE	Focused successor before the final horizontal 19/19 and 20/20 gates.
W2-013	W2_AUTHORIZED_IMPLEMENTATION	PROVIDER_UNKNOWN_SEMANTICS	CURRENT-RATIFIED-SENTINEL	Affected current-byte ratified surface, excluding the expensive ten-cut process-kill matrix	tests/TagEkyc.IntegrationTests/TestResults/a3-w2/a3-w2-current-source-ratified-sentinel.trx	37B519B0550AE1BEF3DE975E0C2C0C03959CD8FDEEFBCCBB1F7B4659E3DCBF51	src/TagEkyc.Infrastructure/Persistence/Migrations/20260913120000_Tip88C1C6BA3RetainedIngressComposition.cs	F9CE348596EBCC4C79F64675A427AFB179BE5C31D9567C44580AB709ECB313F9	18/18 PASS	RATIFIED_SENTINEL_GREEN	NOT_APPLICABLE	Nine Kestrel/Agent cases plus BP16 verifier, BP17 ciphertext, BP18 two-order race and all four BP21 provider-evidence cases on current bytes; process-kill was not rerun.
W3-001	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	PREDECESSOR-O14-BASELINE	Initial 26-case horizontal baseline before O14 recovery fixture correction	tests/TagEkyc.IntegrationTests/TestResults/a3-w3/a3-w3-horizontal-baseline.trx	6045AF449465C24DCBA3FFE0577B9463EB5979036E168E061D809FC972E34C9A	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	B287EBD78FD4542EB4495E2CC252754E86348B2202B172F18C1EAF285C03A140	25 PASS / 1 FAIL	SUPERSEDED_RED	NOT_APPLICABLE	O14 recovery incorrectly expected immediate Handoff; successor proves exact selector recovery reaches the independent reservation gate.
W3-002	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	O14-TOKEN-DIAGNOSTIC	First focused recovery setup	tests/TagEkyc.IntegrationTests/TestResults/a3-w3/a3-w3-o14-recovery-diagnostic.trx	E3BA9A5F8AE95FE0EAF4EE1E67FE41547251DFAAC41259CBB782B42749BC038F	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	B287EBD78FD4542EB4495E2CC252754E86348B2202B172F18C1EAF285C03A140	0/1 FAIL	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	Fixture changed expiry without issued-at and hit the alias check constraint before the target assertion.
W3-003	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	O14-FILTER-DIAGNOSTIC	Wrong opt-in property/filter invocation	tests/TagEkyc.IntegrationTests/TestResults/a3-w3/a3-w3-o14-recovery-diagnostic-v2.trx	9D76EC4771B5061462849D2694C67FD4AA2CEC652B559202DDAA38AD298326FD	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	B287EBD78FD4542EB4495E2CC252754E86348B2202B172F18C1EAF285C03A140	0/0	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	No A3 test executed; not evidence.
W3-004	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	O14-RECOVERY-DIAGNOSTIC	Focused O14 after valid token expiry	tests/TagEkyc.IntegrationTests/TestResults/a3-w3/a3-w3-o14-recovery-diagnostic-v3.trx	84EBD5611B9BECECF37B8F786C1E368E4E3427CC98BC5928A1B62ABD365926FB	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	B287EBD78FD4542EB4495E2CC252754E86348B2202B172F18C1EAF285C03A140	0/1 FAIL	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	Recovery advanced beyond O14 but the fixture expected Handoff instead of the independent active-reservation denial.
W3-005	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	O14-PROVIDER-DIAGNOSTIC	Focused exact-selector recovery with placeholder MAC	tests/TagEkyc.IntegrationTests/TestResults/a3-w3/a3-w3-o14-recovery-attempt-a4.trx	F014785A30EEC3EEE0355ED67E21CB18CE26A9E69440643EE6AE8EF7C1D3F9C6	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	B287EBD78FD4542EB4495E2CC252754E86348B2202B172F18C1EAF285C03A140	0/1 FAIL	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	The recoverable fixture returned SHA256 rather than the production commitment provider result and therefore reached fingerprint conflict; successor delegates to the production provider.
W3-006	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	O14-RECOVERY-CONTROL	Focused exact old-key recovery	tests/TagEkyc.IntegrationTests/TestResults/a3-w3/a3-w3-o14-recovery-focused-green-v2.trx	27B104B9AE8F4B5E4597D051BD8752F2A1297DBCBDA1DCB43BD99504E71B0F26	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	B287EBD78FD4542EB4495E2CC252754E86348B2202B172F18C1EAF285C03A140	1/1 PASS	BASELINE_GREEN	NOT_APPLICABLE	Provider recovery uses locked v1 twice, never configured v2, reads no body and advances from O14 to O16 reservation gate.
W3-007	W3_ADMISSION_OUTCOMES	AUTH_ADMISSION	CURRENT-HORIZONTAL-BASELINE	All four W3 Server families on corrected current test bytes	tests/TagEkyc.IntegrationTests/TestResults/a3-w3/a3-w3-horizontal-baseline-v2.trx	59591EBAC75F07A2D0D8431626C103ADEA363B7DDFC249D88E70E79129790651	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs	B287EBD78FD4542EB4495E2CC252754E86348B2202B172F18C1EAF285C03A140	26/26 PASS	BASELINE_GREEN	NOT_APPLICABLE	One horizontal PostgreSQL/Kestrel run covers auth, expiry boundary, capacity, O11/O14/O16 and adjacent controls.
W3-008	W3_ADMISSION_OUTCOMES	CAPACITY	AGENT-STALE-BINARY-DIAGNOSTIC	Agent filter before rebuilding edited test source	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-w3/a3-w3-agent-expired-lease-baseline.trx	A9EDA585F4A11D9E4E5F43F915328110867FEFF793DED52BD9B22257C69BE890	tests/TagEkyc.CaptureAgent.Tests/Tip88C1C6BA3RetainedOwnershipTests.cs	21764EB7CC850605C8BF9C88C13B48E105D618B66F3BA7D31B5B3DADC790B438	0/0	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	Stale Agent binary contained no matching test; rebuilt successor is W3-009.
W3-009	W3_ADMISSION_OUTCOMES	CAPACITY	AGENT-EXPIRED-LEASE	Shared Agent custody family for P08/P11/P14/P16	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-w3/a3-w3-agent-expired-lease-baseline-v2.trx	860CBA4F89D31E3B44032F6180020808D0896F6C61AF014D31DD847243E43841	tests/TagEkyc.CaptureAgent.Tests/Tip88C1C6BA3RetainedOwnershipTests.cs	21764EB7CC850605C8BF9C88C13B48E105D618B66F3BA7D31B5B3DADC790B438	5/5 PASS	BASELINE_GREEN	NOT_APPLICABLE	All five bounded-retry outcomes preserve the lease initially, then expire, zeroize and forbid a second body send.
