RunId	TrxPath	TrxSha256	TestSourceSha256	AgentSourceSha256	Total	Passed	Failed	Skipped	Classification	Guard	MappedRows	Note
EF-011	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-prebuffering-harness-mutation.trx	6E6DAF8DBCC3BF954984AC0A411AB552FB964132BE80FB5F66784D65677A291F	49D5B7824A73DB08A9E5F0A85AEC7B46D010678C65F4878769EEDBB5F5328C5F	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	0	1	0	EVIDENCE_RED_TEST_TOPOLOGY	EXPECT-FENCE-PREBUFFER	BP13 ThreeExpectTransportMutationsFailQualification	Test-only intermediary prebuffers content before forwarding; F0 pre-commit serialization Expected 0 Actual 1. This is topology qualification, not a production-source guard mutation.
EF-012	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-after-prebuffer-restore.trx	33F813259BE0070A4C081666342274EC8B14556E11B5A83E0182532F3D94155C	6CF586B2C0EC60A1BCB210026D56190885C7998939F72F7830E39B95628F92E7	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	3	3	0	0	RESTORED_GREEN	EXPECT-FENCE-PREBUFFER	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current-source F0 plus two shared TLS/Agent harness controls; BP13 remains OPEN.
EF-013	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a1.trx	9474B5AB935EF394A9C6C4C5CA6DE39157A01F1B41AA419AC9282D7BD93E8A09	D4BCE89592EE5CB319A70397137D04DE17E986CA8749CC8BC0D6D3FFD084BC72	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	0	1	0	EXCLUDED_DIAGNOSTIC	EXPECT-FENCE-ROLLBACK	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Test-only rollback probe is_called remained false, so this run did not prove the trigger was entered. Test-source SHA reconstructed byte-for-byte from the one subsequent SECURITY DEFINER edit.
EF-014	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a2.trx	C706CA52623FC1ED4B4CE21569E9849BDA9AB7CDB9406DFE0ACF18A97510B5ED	D4BCE89592EE5CB319A70397137D04DE17E986CA8749CC8BC0D6D3FFD084BC72	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	0	1	0	EXCLUDED_DIAGNOSTIC	EXPECT-FENCE-ROLLBACK	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Invalid --no-build invocation after source edit; previous binary still ran, same pre-target assertion failed.
EF-015	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a3.trx	38C6E4A701D52AB86607D76479FCA1385B7A56BB36FC84A74AC9484B468A0E2C	3613B387EA5C8A9073B29E28650E4AB1682273A6ED9484D30D766AAF401F054C	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	0	1	0	SUPERSEDED_RED	EXPECT-FENCE-ROLLBACK	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Nontransactional sequence confirms real B/R1 insert trigger ran then rolled back; Agent content serialization count was 1 despite no committed R1. Whether a byte crossed TLS is not yet measured. Superseded by EF-018 current-source completed-copy assertion; no row closure.
EF-016	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-after-rollback-f0-control.trx	97E3619D57B380582C7C5C0F1866E4A64C20AA7CD8E678C5C7F00D464467FD7D	3613B387EA5C8A9073B29E28650E4AB1682273A6ED9484D30D766AAF401F054C	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	1	0	0	POSITIVE_CONTROL	EXPECT-FENCE-COMMIT	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current-source positive F0 remains 1/1 after adding rollback scenario. F1 is independently RED; do not report a restored joined gate for the whole family.
EF-017	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-write-diagnostic.trx	AFE45F57DFC53FB409F4DD442E7EA51F991B0448F685E7ABD92FE221472DA0E3	182FC0D405D9F92E8AD22EC8008EFDA907EA7EFE166B8C72D8EE1881D2D4ACFF	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	2	1	1	0	SUPERSEDED_RED	EXPECT-FENCE-ROLLBACK	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	F0 positive; F1 failed at completed content-copy assertion. Superseded by EF-018, which checks no server read before the same failure.
EF-018	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-final-discovery.trx	024D5CAABC6FF404B9FBEC33C996FD5907E50C03306D16ECDA9135BD250F15E9	D5E83C0049A1A87AAE2212C31BE489D238B14BED6D9CE68222B930F89633653B	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	2	1	1	0	SUPERSEDED_RED	EXPECT-FENCE-ROLLBACK	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current-source F0 PASS / F1 RED. Sequence confirms B/R1 trigger entered and rolled back; no committed R1; server body read zero; Agent content copy to handler transport stream completed once. Not a mutation RED. Superseded by EF-020 exact boundary; no packet/row closure.
EF-019	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-1024-1025-boundary.trx	040A91772AFFD72B5A2E80EDF56AC08542863BACC121C8A2EE275EED438B9D27	2CC60E98AEB82543FE371BBF64B3F2B064BEDC4B8193799742B251B7F7CCE917	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	2	0	2	0	SUPERSEDED_RED	EXPECT-FENCE-ROLLBACK-BOUNDARY	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	1024 content copied after final error; 1025 rejected by old fixture maximum before broker. Source SHA reconstructed from one optional-fixture-parameter edit. Superseded by EF-020.
EF-020	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-boundary-valid-fixture.trx	40147979F40F978C684D19301B544A4B441598DB685B05F87A8274BC58BFBD7C	75E7EFA55C02D7E92C92CF3CDC847130B197A65328221F3E85687C10B1D6CCD4	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	2	1	1	0	REAL_PRODUCT_BLOCKER	EXPECT-FENCE-ROLLBACK-BOUNDARY	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current source: 1024-byte rollback RED at completed copy; 1025-byte rollback PASS. Agent fixture maximum expanded with default-preserving optional parameter; no production bytes changed. Strongly localizes .NET 8 small-body final-error branch, but no TLS packet capture.
EF-021	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-current-source-f0-control.trx	0628FA48E3DA9BA5EBA47FA55B36AD0F3C1C32E5F8781CD8619C6AEBEDED1708	75E7EFA55C02D7E92C92CF3CDC847130B197A65328221F3E85687C10B1D6CCD4	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	1	0	0	POSITIVE_CONTROL	EXPECT-FENCE-COMMIT	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current-source F0 still passes with default-preserving fixture parameter; F1 remains REAL_PRODUCT_BLOCKER.
