row_id	normative_claim	production_caller	producer_branch	phase	transport	result	body_behavior	residue	agent_custody	existing_proof	missing_dimensions	shared_mechanism	test_doubles	classification	mechanism_group	ledger_line	authority_locator
A3_RetentionSnapshot_ExactPermitRevision	Snapshot references exact immutable permit revision; missing or revision-2 lineage is rejected.	R20 and R1/R3/R4/R5 retained-source SQL	retention permit/snapshot/checkpoint functions	retention source eligibility	PostgreSQL	authorized or retention denial	denial before new raw/provider read	snapshot/ciphertext immutable on denial	no assumption that retention grants export	none	no injected revision-2/missing-revision proof found	exact permit revision + latest head + frozen horizon	synthetic authority setup only; real SQL for decision	TEST_EXTENSION	RETENTION_CORE	31	reconciliation row 31; companion contract
A3_C3_OuterAdmissionClockAfterAllLocks	C3 evaluates three horizons with clock sampled after all blocking locks.	C1/C3 export services	independent export authority and retained-source resolver	post-Completed export	PostgreSQL / provider	export permitted or typed denial	provider read zero on denial	no export package/read; retained ciphertext preserved	none	none	no three-horizon outer C3 lock-wait matrix found	owned-session locks + post-lock three-horizon clock + export AND retention	synthetic source setup only; actual C3 reader/SQL	TEST_EXTENSION	EXPORT_C3	34	reconciliation row 34; companion contract
A3_RetentionReplay_CommonSessionPrefix	Replay and TI/RE/R3-R5 share deterministic owned-session prefix to avoid deadlock and stale authorization.	R20 and R1/R3/R4/R5 retained-source SQL	retention permit/snapshot/checkpoint functions	retention source eligibility	PostgreSQL	authorized or retention denial	denial before new raw/provider read	snapshot/ciphertext immutable on denial	no assumption that retention grants export	none	no public replay race matrix against TI01/TI02/RE01/R3/R4/R5	exact permit revision + latest head + frozen horizon	synthetic authority setup only; real SQL for decision	TEST_EXTENSION	RETENTION_CORE	36	reconciliation row 36; companion contract
A3_RetentionCheckpoint_LatestReferenceNotOldEffective	Checkpoint uses latest reference head, not an older still-effective event.	R20 and R1/R3/R4/R5 retained-source SQL	retention permit/snapshot/checkpoint functions	retention source eligibility	PostgreSQL	authorized or retention denial	denial before new raw/provider read	snapshot/ciphertext immutable on denial	no assumption that retention grants export	none	reference-withdrawal case exists, not updated-head versus old-effective matrix	exact permit revision + latest head + frozen horizon	synthetic authority setup only; real SQL for decision	TEST_EXTENSION	RETENTION_CORE	37	reconciliation row 37; companion contract
A3_ExportWithdrawal_BlocksBeforeProviderRead	Retained-source withdrawal blocks C3 before provider read while preserving ciphertext residue.	C1/C3 export services	independent export authority and retained-source resolver	post-Completed export	PostgreSQL / provider	export permitted or typed denial	provider read zero on denial	no export package/read; retained ciphertext preserved	none	none	as an exact C3 reader-zero proof after reference withdrawal	owned-session locks + post-lock three-horizon clock + export AND retention	synthetic source setup only; actual C3 reader/SQL	TEST_EXTENSION	EXPORT_C3	41	reconciliation row 41; companion contract
A3_Continuation_ReadsFrozenActorAndActualRevisions	Continuation reads frozen actor and observed revisions, never current credential or guessed CAS arithmetic.	CaptureRuntimeSourceContinuationWorker → CP08/CP09 → R2-R6	durable readback/scan and stage services	post-R1 recovery	PostgreSQL + role-specific object scopes	continue / ambiguous / terminal	bodyless continuation; never read request plaintext	fenced attempt/head/object; no duplicate provider effect	no Agent plaintext after restart	none	typed readback tests are related but lack current-credential/assumed-revision mutation	CP08/CP09 tuple + original horizon + worker CAS	synthetic non-patient provider credentials for test host; production worker/readback	TEST_EXTENSION	CONTINUATION	42	reconciliation row 42; companion contract
A3_Continuation_DuplicateWorkersDoNotRestartR2	Two real workers serialize continuation; neither restarts R2 or duplicates provider effects.	CaptureRuntimeSourceContinuationWorker → CP08/CP09 → R2-R6	durable readback/scan and stage services	post-R1 recovery	PostgreSQL + role-specific object scopes	continue / ambiguous / terminal	bodyless continuation; never read request plaintext	fenced attempt/head/object; no duplicate provider effect	no Agent plaintext after restart	none	single-worker overlap test is not two real competing workers	CP08/CP09 tuple + original horizon + worker CAS	synthetic non-patient provider credentials for test host; production worker/readback	TEST_EXTENSION	CONTINUATION	44	reconciliation row 44; companion contract
A3_Continuation_ExpiredTransientWithoutIntent	Original horizon expiry without intent is found by durable scan and finalized once, with no duplicate worker.	CaptureRuntimeSourceContinuationWorker → CP08/CP09 → R2-R6	durable readback/scan and stage services	post-R1 recovery	PostgreSQL + role-specific object scopes	continue / ambiguous / terminal	bodyless continuation; never read request plaintext	fenced attempt/head/object; no duplicate provider effect	no Agent plaintext after restart	none	as one original-horizon scan/expiry/no-duplicate-workers proof; TI01/NPS01 tests cover subsets	CP08/CP09 tuple + original horizon + worker CAS	synthetic non-patient provider credentials for test host; production worker/readback	TEST_EXTENSION	CONTINUATION	46	reconciliation row 46; companion contract
A3_RetentionMigration_CheckoutRepresentationsConverge	LF/CRLF independent checkout migrations converge to identical observed PostgreSQL catalogue and roundtrip.	EF migration discovery/apply/Down	A3 forward migration SQL and catalogue	deploy/rollback	independent PostgreSQL databases	catalogue convergence or fail	none	DDL/ACL/owner/search_path exact; populated Down denied	none	none	current migration tests do not build independent LF/CRLF checkouts and compare observed PostgreSQL catalogues	LF/CRLF representation normalization and canonical body hash	independent checkout/database fixtures; real EF migration	TEST_EXTENSION	MIGRATION	49	reconciliation row 49; companion contract
A3_S02_PreNonceA1PrecedenceUnchanged	A1 pre-N authentication/validation precedence and no-body behavior remain unchanged by A3.	A1 HTTP → A3 ingress / completion endpoint / Agent client	A1 pre-N, completion selection, Server mapper	pre-N or completion	HTTP + PostgreSQL	exact typed code/status/shape	no raw read on pre-N/denial	no unauthorized completion/custody rows	Agent receives only closed result	none	parent-only proof not located	A1 precedence + completion actor/selection + mapper	synthetic response only for parser preconditions; row claim needs production HTTP/SQL	TEST_EXTENSION	AGENT_RESULT	59	reconciliation row 59; companion contract
A3_CompletionActorAndFailureProjection	Completion selects exact retained sources under authenticated actor and maps typed failures without authority drift.	A1 HTTP → A3 ingress / completion endpoint / Agent client	A1 pre-N, completion selection, Server mapper	pre-N or completion	HTTP + PostgreSQL	exact typed code/status/shape	no raw read on pre-N/denial	no unauthorized completion/custody rows	Agent receives only closed result	none	completion selection test does not prove actor/typed failure projection matrix	A1 precedence + completion actor/selection + mapper	synthetic response only for parser preconditions; row claim needs production HTTP/SQL	TEST_EXTENSION	AGENT_RESULT	62	reconciliation row 62; companion contract
A3_AgentRawExpectDoesNotSendBeforeCommittedR1	Real Agent HttpClient Expect over Kestrel sends no first raw body byte before committed B/R1 observed in PostgreSQL.	CaptureRuntimeHttpClient → Kestrel A1/A3 raw ingress	Expect/continue boundary + B/R1 commit	before first body byte	real HttpClient/Kestrel/PostgreSQL	100-Continue or fail-closed final	first body byte only after committed R1; negative zero	observer sees committed B/R1 or no new B	original Agent lease retained/zeroized per result	none	unread-body TestServer seam is not the specified real HttpClient/Kestrel Expect observer proof	Expect 100-Continue ordering, no fallback/downgrade	non-patient byte source only; no canned HTTP, no in-memory DB	TEST_EXTENSION	EXPECT	65	reconciliation row 65; companion contract
BP03 `BrokerCommitObservedBeforeFirstRawRead	BP03 `BrokerCommitObservedBeforeFirstRawRead	CaptureRuntimeHttpClient → Kestrel A1/A3 raw ingress	Expect/continue boundary + B/R1 commit	before first body byte	real HttpClient/Kestrel/PostgreSQL	100-Continue or fail-closed final	first body byte only after committed R1; negative zero	observer sees committed B/R1 or no new B	original Agent lease retained/zeroized per result	none	as named separate-observer B-commit-before-first-read proof	Expect 100-Continue ordering, no fallback/downgrade	non-patient byte source only; no canned HTTP, no in-memory DB	TEST_EXTENSION	EXPECT	80	reconciliation row 80; companion contract
BP07 `ExistingMatchReadsNoBodyAndNoNewKey	BP07 `ExistingMatchReadsNoBodyAndNoNewKey	Admission service → broker façade	B-B/B-C alias/evaluation/state-gate SQL	P3	private HTTP/PostgreSQL → Server mapper/Agent	O09-O16 exact code/status/shape	zero body on Final	outcome-specific alias/evaluation/attempt and provider rows	retry/backoff/zeroization as outcome permits	none	as exact durable-head matrix	alias lock, token CAS, historic selector, reference gate, RE01 state gate	no synthetic Final for row closure; existing aggregate synthetic only tests mapper	TEST_EXTENSION	BROKER_CLAIM	84	reconciliation row 84; companion contract
BP10 `WindowCapacityIsBoundedAcrossAllExitPaths	BP10 `WindowCapacityIsBoundedAcrossAllExitPaths	CaptureRuntimeRawIngressAdmissionService	RawExportIngressCapacity	P2 admission	HTTP → process-local capacity	O08 503 O	zero second body read	zero second alias/R1; slot/bytes released	same-buffer bounded retry	none	as exact count/byte all-exit-path proof	count/byte capacity lease across all exits	blocked first request is controlled precondition; capacity primitive real	TEST_EXTENSION	CAPACITY	87	reconciliation row 87; companion contract
BP11 `AvailableOnlyAfterPublicationCommit	BP11 `AvailableOnlyAfterPublicationCommit	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as exact response-before-R5 negative proof	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	88	reconciliation row 88; companion contract
BP12 `CleanupSurvivesHttpReceiptLoss	BP12 `CleanupSurvivesHttpReceiptLoss	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as exact request-loss-to-independent-scope cleanup proof	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	89	reconciliation row 89; companion contract
BP13 `ThreeExpectTransportMutationsFailQualification	BP13 `ThreeExpectTransportMutationsFailQualification	CaptureRuntimeHttpClient → Kestrel A1/A3 raw ingress	Expect/continue boundary + B/R1 commit	before first body byte	real HttpClient/Kestrel/PostgreSQL	100-Continue or fail-closed final	first body byte only after committed R1; negative zero	observer sees committed B/R1 or no new B	original Agent lease retained/zeroized per result	none	static handler assertions do not establish all three transport mutations	Expect 100-Continue ordering, no fallback/downgrade	non-patient byte source only; no canned HTTP, no in-memory DB	TEST_EXTENSION	EXPECT	90	reconciliation row 90; companion contract
BP16 `VerifierRunsOnDurableCiphertextNotRequestBuffer	BP16 `VerifierRunsOnDurableCiphertextNotRequestBuffer	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as named proof; R3/R4/R5 process-kill tests prove bodyless continuation only	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	93	reconciliation row 93; companion contract
BP17 `ProviderUnknownDoesNotInventInputMismatch	BP17 `ProviderUnknownDoesNotInventInputMismatch	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as exact provider-unknown/complete-vs-incomplete ciphertext matrix	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	97	reconciliation row 97; companion contract
BP17 `CiphertextFailureIsNotProducerMismatch	BP17 `CiphertextFailureIsNotProducerMismatch	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as exact ciphertext-corruption-to-O20 distinction	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	99	reconciliation row 99; companion contract
BP18 `StageCannotOvertakeTerminalIntent	BP18 `StageCannotOvertakeTerminalIntent	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as actual TI01/R3 two-order race	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	103	reconciliation row 103; companion contract
BP19 `AllStageEnumMembersHaveExactProjection	BP19 `AllStageEnumMembersHaveExactProjection	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2–R6	R2 writer/verifier; R3/R4/R5/read/complete/finalize stage result projections	P4–P7	durable PostgreSQL/object stage results; public mapping only after completed stage	writer8/verifier3/R3=5/R4=5/R5=5/read4/complete5/finalize5 exact enum sets; invalid shape fails closed	one bounded raw read at first R2 attempt; continuation bodyless	invalid/unmapped stage result cannot fabricate Available or RecaptureRequired	original lease or recapture; no receipt-derived plaintext	none	Need complete production stage-enum census, invalid-shape and unknown-cast controls with targeted RED.	stage-result projection, CP08/09 and R2–R6 CAS	synthetic provider may establish stage prerequisites; no fake stage result for projection claim	TEST_EXTENSION	R2_R6	104	reconciliation row 104; broker pipeline contract v0.5 BP19 stage-projection inventory
BP20 `TransientO18SettlesThenSameOwnerRetryReachesAvailable	BP20 `TransientO18SettlesThenSameOwnerRetryReachesAvailable	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as full B-C→R2–R5-to-Available retry after old lease	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	105	reconciliation row 105; companion contract
BP20 `ReentryCannotRaceStageOrTerminalIntent	BP20 `ReentryCannotRaceStageOrTerminalIntent	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as B-C versus R3/TI01 race	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	107	reconciliation row 107; companion contract
BP20 `TerminalOrDifferentOwnerCannotReenter	BP20 `TerminalOrDifferentOwnerCannotReenter	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as exact terminal/different-owner matrix; RE01 tests cover subsets	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	108	reconciliation row 108; companion contract
BP20 `ExpiredTransientAttemptFinalizesRecaptureWithoutHistoryRewrite	BP20 `ExpiredTransientAttemptFinalizesRecaptureWithoutHistoryRewrite	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as exact old-row-byte equality plus O20 finalization proof	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	109	reconciliation row 109; companion contract
BP21 `LostR1ResponseBeforeKeyRecoversWithoutMaterial	BP21 `LostR1ResponseBeforeKeyRecoversWithoutMaterial	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	none	as full NPS01+RE01+R2–R5 proof from lost B response	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	110	reconciliation row 110; companion contract
BP21 `ProviderEvidenceCannotMasqueradeAsNoStart	BP21 `ProviderEvidenceCannotMasqueradeAsNoStart	CaptureRuntimeSourcePipeline / ContinuationWorker → existing R2-R6	R2 writer/verifier, TI/NPS/RE, R3-R5 and cleanup SQL	P4-P7	Kestrel body first attempt; durable PG/object continuation	O18-O22 / internal O23	single bounded raw read; restart bodyless	exact attempt/object/head/publication/cleanup	original lease or recapture; no receipt-derived plaintext	Nps01_ProviderUnknownIsEvidenceNotAbsence (Tip88C1C6BA3R2TerminalProjectionTests.cs)	unknown-provider case exists, full key/preparation/object evidence matrix not located	input observation + terminal intent + CP08/09 + stage CAS	synthetic non-patient provider supplied explicitly; real stage SQL/object effects	TEST_EXTENSION	R2_R6	113	reconciliation row 113; companion contract
P01	O01 ACCESS_DENIED: No A3/body; original auth/N semantics	Program → RawExportSourceIngressEndpoints → A1 authenticator before A3	A1 CRT1/authentication/N pre-nonce branch	A1 P0	signed public HTTP/PostgreSQL	ACCESS_DENIED; 403 existing A1	no body read on A1 denial	No A3/body; original auth/N semantics	Agent receives ACCESS_DENIED; no retained send	P01 signed HTTP/PostgreSQL admission 12/12 component; S02 mapper shape only	Need original A1 CRT1/auth/N precedence, ordinary signed HTTP no-A3/no-body residue, and Agent denial joined without altered A1 semantics.	A1 authentication precedence and nonce commit	non-patient invalid CRT1 inputs; production A1 authenticator/SQL	TEST_EXTENSION	A1_AUTH	121	parent v0.6 §6.2 O01
P02	O02 RAW_EXPORT_SOURCE_BINDING_INVALID: No body/R1; do not disclose other binding	RawExportSourceIngressEndpoints → CaptureRuntimeRawIngressAdmissionService → private broker	RawIngressBrokerTransactionFacade bound-reader isolation and zero-bound result	A3 P1	Kestrel/TLS → production Agent client → Server → PostgreSQL	RAW_EXPORT_SOURCE_BINDING_INVALID; 403 O	zero raw/body-pipeline reads	missing and real foreign-existing artifact are wire-indistinguishable; caller/foreign durable and provider families unchanged; no R1	terminal Agent result retires/zeroizes lease and forbids same-buffer retry	BROKER_ADMISSION v2 final restored Server 3/3; frozen Agent 2/2; BA-G1, BA-G3 and BA-G4 RED	Homeowner ratified on v2 evidence	zero-bound projection + exact artifact/session/client isolation + terminal same-lease guard	authenticator only supplies post-auth caller; production broker/SQL/HTTP/Agent behavior	IMPLEMENTED	BROKER_ADMISSION	122	parent v0.6 §6.2 O02; broker-admission packet v2
P03	O03 NOT_FOUND_OR_NOT_ALLOWED: No existence disclosure/new custody	ordinary API raw-ingress graph → broker host; exact emitting caller not identified	NO PRODUCTION EMITTER IDENTIFIED; code currently only accepted/projected	A3 P1	signed HTTP → private HTTP → PostgreSQL	NOT_FOUND_OR_NOT_ALLOWED; 403 O	no raw read before B commit or on Final	No existence disclosure/new custody	same lease only for retryable result	S02 catalogue/mapper and synthetic Final only; no production emitter proof	Production emission/cause absent; Homeowner must decide missing branch versus surplus ledger row before row proof.	one B transaction + private union + preflight + body gate	synthetic Final is only mapper-control, not a producer proof	SEMANTIC_BLOCKER	BROKER_ADMISSION	123	parent v0.6 §6.2 O03
P04	O04 RAW_EXPORT_SOURCE_TRANSPORT_PROTOCOL_INVALID: No body; if R1 exists use exact pre-start terminalization/fenced cleanup	ordinary API raw-ingress graph → broker host; exact emitting caller not identified	NO PRODUCTION EMITTER IDENTIFIED; code currently only accepted/projected	A3 P1–P4	signed HTTP → private HTTP → PostgreSQL	RAW_EXPORT_SOURCE_TRANSPORT_PROTOCOL_INVALID; 400 O	no raw read before B commit or on Final	No body; if R1 exists use exact pre-start terminalization/fenced cleanup	same lease only for retryable result	S02 catalogue/mapper and synthetic Final only; no production emitter proof	Production emission/cause absent; Homeowner must decide missing branch versus surplus ledger row before row proof.	one B transaction + private union + preflight + body gate	synthetic Final is only mapper-control, not a producer proof	SEMANTIC_BLOCKER	BROKER_ADMISSION	124	parent v0.6 §6.2 O04
